序号,章节,行号,占位内容,分类,优先级,责任方,处理动作,上下文
330,6. 其他响应资料,2529,质保期年限，需人工复核招标文件要求,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,理管理细则》作出的处理。  【（二）售后服务承诺函】  我公司针对本项目中标的电缆保护管产品，提供以下售后服务： - **质保期**：自货物验收合格之日起不少于【待补充：质保期年限，需人工复核招标文件要求】。 - **响应时间**：接到招标人书面或电话通知后，2小时内响应，24小时内派技术人员（包括王强、陈国华、黄文清、林乌金等售后技术人员）到达现场处理。 - **服务内容**：免费提供产品安装指导、技
331,6. 其他响应资料,2532,备品备件比例,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,质量异议处理及备品备件更换服务。质保期内因产品制造原因导致的损坏，无条件免费更换；质保期外，按成本价提供配件及维修服务。 - **备品备件**：承诺按合同金额的【待补充：备品备件比例】提供备品备件，并长期供应。  【（三）履约能力承诺函】  我公司注册资本10000万元，成立于2012年，注册地址位于河北省保定市满城区陉阳驿村。公司拥有CPVC/MPP生产线、微机控制电子万能试验机
332,6. 其他响应资料,2536,产能数据,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,"于河北省保定市满城区陉阳驿村。公司拥有CPVC/MPP生产线、微机控制电子万能试验机、热变形/维卡软化点温度测定仪、熔体流动速率仪等专业生产及检测设备，具备年产【待补充：产能数据】米电缆保护管的生产能力。公司近三年具有类似项目业绩：国网天津市电力公司2022年第二次配网物资协议库存招标采购（招标编号0322AB，包2），供应电缆保护管MPP和CPVC共54,678米，含税金额6"
333,6. 其他响应资料,2548,法定代表人授权委托书页码,H-最终排版页码/附件索引,P1,排版/标书装订负责人,DOCX/PDF定稿后按目录和附件顺序回填，不需要客户新增资料,严格保密，未经招标人书面同意，不向任何第三方泄露。保密义务不因合同终止而解除。  【五、其他补充证明资料】  1. **法定代表人授权委托书**：详见本投标文件【待补充：法定代表人授权委托书页码】。授权委托期限自签署之日起至投标有效期结束。 2. **投标保证金**：我方已按招标文件要求提交投标保证金，具体形式    ![泰昌碳足迹报告第14页](/api/bidding/knowledge/
334,7. 技术响应文件,2594,设备型号、数量、精度和检定周期以设备台账为准,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,CPVC生产线和MPP生产线，配套配备微机控制电子万能试验机、热变形/维卡软化点温度测定仪、电子天平、锤击试验装置、熔体流动速率仪、电子拉力试验机等精密检测设备【待补充：设备型号、数量、精度和检定周期以设备台账为准】，可对产品关键性能指标实施全批次检验。  **5. 专业技术团队** 公司组建了一支由董事长晁坤琳（兼任试验员）统筹领导，总经理杨贺负责运营管理，项目经理晁猛（厂长）组织生产，技术总监赵称心负责技术研
335,7. 技术响应文件,2683,具体日产能和月产能数据以企业实际产能评估为准，可在后续补充说明中提供产能核算表。,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,  我公司具备规模化生产能力，两条MPP/CPVC生产线可满足本次招标预估需求的产量要求。若遇紧急补货或订单高峰期，可通过调整班次、提升生产节拍等方式保障供货。【待补充：具体日产能和月产能数据以企业实际产能评估为准，可在后续补充说明中提供产能核算表。】  **3.1.3 原材料供应保障**  公司与主要原材料供应商建立了长期稳定的合作关系，签订年度供货框架协议，确保关键原料（MPP树脂、CPVC树脂、助剂等）的稳定供应。针对本次招标项目
336,7. 技术响应文件,2775,具体设备型号、出厂编号、计量检定有效期等以企业设备台账为准，可在后续附件中提供设备清单与检定证书。,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,检测尺寸及称量辅助材料 - 锤击试验装置：用于落锤冲击性能测试 - 熔体流动速率仪：用于检测原材料的熔体流动速率 - 电子拉力试验机：用于管材的拉伸性能测试  【待补充：具体设备型号、出厂编号、计量检定有效期等以企业设备台账为准，可在后续附件中提供设备清单与检定证书。】  【4.3 不合格品控制与纠正预防】  **4.3.1 不合格品处理流程**  发现不合格品时，按以下流程处理： 1. 标识与隔离：在不合格品上粘贴“不合格”标签，移入
337,7. 技术响应文件,2798,具体响应时间和到场时间以投标商务文件的售后服务承诺为准,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写, - 质保期自产品验收合格之日起计算，质保期内因产品自身质量问题导致无法正常使用的，公司免费更换或维修，并承担相关费用 - 质保期内提供7×24小时技术服务响应【待补充：具体响应时间和到场时间以投标商务文件的售后服务承诺为准】 - 建立产品使用档案，定期回访客户，主动了解产品运行情况  **4.4.2 售后技术团队**  公司组建专门的技术售后服务团队，成员包括：  - 技术售后人员：王强、陈国华、黄文清、林乌金 - 技术
338,7. 技术响应文件,2844,按本次项目实际指派,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,/厂长） | 全面负责项目执行，含生产计划、质量控制、发货安排 | | 技术总监 | 赵称心 | 技术方案审核，工艺支持，技术问题决策 | | 质量负责人 | 【待补充：按本次项目实际指派】 | 质量体系运行监督，质量记录审核 | | 质检专员 | 赵伟、刘合钦、杨华、巩超、于诗兰、莫文清 | 原材料、过程、成品检验，检测报告出具 | | 生产调度 | 【待补充：按本次项目实际指派】 |
339,7. 技术响应文件,2846,按本次项目实际指派,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,质量体系运行监督，质量记录审核 | | 质检专员 | 赵伟、刘合钦、杨华、巩超、于诗兰、莫文清 | 原材料、过程、成品检验，检测报告出具 | | 生产调度 | 【待补充：按本次项目实际指派】 | 生产排产，现场管理，设备协调 | | 售后联络人 | 王强、陈国华、黄文清、林乌金 | 客户对接，交货安排，售后技术服务 |  【6.2 质量控制职责】  质量相关人员在各环节的具体职责： - 
340,7. 技术响应文件,2877,合作物流企业名称，以企业实际合作为准,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,提下适度提速 3. 调配备用模具和辅助设备扩大产能 4. 必要时与其他具备资质和能力的合规生产企业协商外协产能补充  **7.1.3 物流保障**  我公司已与【待补充：合作物流企业名称，以企业实际合作为准】等多家专业物流公司建立了合作关系，具备充足的运力资源。可根据交货地点、交货时间和货物数量灵活调配车辆，确保准时交付。  【7.2 风险识别与应对】  | 风险类别 | 识别 | 应对措施 | |---
341,7.1 招标人要求响应,3009,本次投标产品原材料供应商名录及资质文件，详见技术文件附件部分。,K-附件资料清单/图片替换确认,P2,资料整理/排版负责人,确认附件是否采用现有入库资产或替换为客户正式原件,P管材：采用改性聚丙烯专用料，熔体流动速率、拉伸屈服强度等指标按批检测。 - CPVC管材：采用氯化聚氯乙烯专用料，维卡软化温度≥110℃，氯含量≥65%。  【待补充：本次投标产品原材料供应商名录及资质文件，详见技术文件附件部分。】  【4.4 生产制造能力响应】  【4.4.1 生产线配置】  本公司设有专业MPP/CPVC电缆保护管生产线，具备生产多种规格管材的能力： - MPP生产线：可生产公称内径100mm~300mm、
342,7.1 招标人要求响应,3025,本次投标承诺的量化产能,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,线实拍、CPVC生产线实拍】。  【4.4.2 生产保障能力】  | 保障要素 | 具体情况 | |----------|---------| | 日产能 | 【待补充：本次投标承诺的量化产能】 | | 库存能力 | 厂区成品仓储面积【待补充：平方米】，可满足批量供货周转 | | 原材料储备 | 主要原材料按月度计划备料，保障供应连续性 | | 应急扩产 | 可根据交货计划合理调整生产线运行
343,7.1 招标人要求响应,3026,平方米,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,要素 | 具体情况 | |----------|---------| | 日产能 | 【待补充：本次投标承诺的量化产能】 | | 库存能力 | 厂区成品仓储面积【待补充：平方米】，可满足批量供货周转 | | 原材料储备 | 主要原材料按月度计划备料，保障供应连续性 | | 应急扩产 | 可根据交货计划合理调整生产线运行班次 |  【4.5 试验检测能力响应】  【4.5.1 
344,7.1 招标人要求响应,3038,设备型号,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,| 型号规格 | 用途 | 检定有效期 | |----------|---------|------|-----------| | 微机控制电子万能试验机 | 【待补充：设备型号】 | 拉伸强度、环刚度试验 | 【待补充：检定周期及有效期】 | | 热变形/维卡软化点温度测定仪 | 【待补充：设备型号】 | 维卡软化温度测定 | 【待补充：检定周期及有效期】 | | 熔体流动速
345,7.1 招标人要求响应,3038,检定周期及有效期,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,-------|---------|------|-----------| | 微机控制电子万能试验机 | 【待补充：设备型号】 | 拉伸强度、环刚度试验 | 【待补充：检定周期及有效期】 | | 热变形/维卡软化点温度测定仪 | 【待补充：设备型号】 | 维卡软化温度测定 | 【待补充：检定周期及有效期】 | | 熔体流动速率仪 | 【待补充：设备型号】 | MPP原料熔融指数测试 
